Id,Formula,Name,Melting_Pt,
260,C4H10O  ,tert-butyl alcohol,299.0,
261,C4H10O   ,diethyl ether,156.9,
262,C4H10O   ,methyl isopropyl ether,127.3,
263,C4H10O2 ,"1,4-dihydroxybutane",293.6,
264,C4H10O4 ,"1,2,3,4-tetrahydroxybutane",396.0,
265,C4H10S ,isopropyl methyl sulfide ,171.7,
266,C4H10S  ,methyl propyl sulfide,160.2,
267,C4H10S   ,n-butyl mercaptan,157.5,
268,C4H10S   ,diethyl sulfide,169.2,
269,C4H10S   ,isobutyl mercaptan,128.3,
270,C4H10S   ,2-butanethiol,133.0,
271,C4H10S   ,tert-butyl mercaptan,274.4,
272,C4H10S2  ,diethyl disulfide,171.6,
273,C4H11N   ,tert-butyl amine,205.7,
274,C4H11NO2 ,"2-amino-2-methylpropane-1,3-diol",384.0,
275,C4H11NO3 ,"2-amino-2-hydroxymethylpropane-1,3-diol",407.5,
276,C4H12N2   ,"1,2-diamino-2-methylpropane",256.1,
277,C5H2Cl3O ,"3,5,6-trichloro-2-pyridinol",448.1,
278,C5H3F7O2 ,methyl perfluorobutanoate,191.4,
279,C5H4O2 ,furfural,235.1,
280,C5H5F3O2 ,trifluoromethyl (2-hydroxy-1-propenyl)ketone,232.4,
281,C5H5N,pyridine,231.5,
282,C5H6 ,cyclopentadiene,176.6,
283,C5H6N2 ,"1,3-dicyanopropane",244.2,
284,C5H6N2 ,4-aminopyridine,429.9,
285,C5H6N2   ,"2,2-dicyanopropane",307.5,
286,C5H6N2O2 ,thymine,321.3,
287,C5H6O    ,2-methylfuran,181.9,
288,C5H6O2  ,furfuryl alcohol,258.6,
289,C5H6S    ,3-methylthiophene,204.2,
290,C5H6S    ,2-methylthiophene,207.8,
291,C5H7N ,N-methylpyrrole,216.9,
292,C5H7NO2 ,ethyl cyanoacetate,246.8,
293,C5H7NS,"2,4-dimethylthiazole",222.9,
294,C5H8 ,1-cis-3-pentadiene,132.4,
295,C5H8  ,spiropentane,166.1,
296,C5H8  ,"2,3-pentadiene",147.5,
297,C5H8  ,methylenecyclobutane,138.5,
298,C5H8  ,cyclopentene,138.1,
299,C5H8  ,"3-methyl-1,2-butadiene",159.5,
300,C5H8  ,"1,2-pentadiene",135.9,
301,C5H8  ,"2-methyl-1,3-butadiene",127.3,
302,C5H8  ,"1,4-pentadiene",124.3,
303,C5H8  ,"trans-1,3-pentadiene",185.7,
304,C5H8Br4 ,pentaerythrityl tetrabromide,433.5,
305,C5H8Cl2O ,"3,3-bis-(chloromethyl)oxacyclobutane",292.2,
306,C5H8F4 ,pentaerythritol tetrafluoride,249.4,
307,C5H8O2 ,d-valerolactone,263.0,
308,C5H8O2 ,acetylacetone enol,254.8,
309,C5H8O2 ,methyl methacrylate,225.0,
310,C5H8O3 ,levulinic acid,306.2,
311,C5H8O4 ,glutaric acid,371.0,
312,C5H9Cl ,chlorocyclopentane,180.0,
313,C5H9N    ,2-cyano-2-methylpropane,292.1,
314,C5H9NO ,2-piperadone,342.3,
315,C5H10 ,methylcyclobutane,138.6,
316,C5H10  ,cyclopentane,179.7,
317,C5H10  ,2-methyl-2-butene,139.4,
318,C5H10  ,1-pentene,107.9,
319,C5H10  ,cis-2-pentene,121.8,
320,C5H10  ,trans-2-pentene,133.0,
321,C5H10  ,3-methyl-1-butene,104.7,
322,C5H10  ,2-methyl-1-butene,135.6,
323,C5H10ClNO ,2-chloro-N-isopropylacetamide,351.3,
324,C5H10N2O2,N-acetylsarcosinamide,412.7,
325,C5H10N2O2 ,N-acetyl-L-alanine amide,431.0,
326,C5H10N2O2S ,5-methyl N-(methylcarbamoyloxy)thioacetimidate,352.7,
327,C5H10N2O3 ,alanylglycine (with decomp),508.0,
328,C5H10N4O4 ,"1,3-dinitro-1,3-diazacycloheptane",374.0,
329,C5H10O ,isopropyl methyl ketone,180.0,
330,C5H10O ,3-pentanone,234.2,
331,C5H10O ,pivaldehyde,272.1,
332,C5H10O  ,cyclopentanol,257.4,
333,C5H10O   ,2-pentanone ,196.3,
334,C5H10O2 ,pentanoic acid,239.5,
335,C5H10O2 ,"2,2-dimethylpropanoic acid (pivalic acid)",309.1,
336,C5H10O4 ,"2,2-bis-hydroxymethylpropanoic acid",468.0,
337,C5H10S  ,cyclopentanethiol,155.4,
338,C5H10S   ,2-methylcyclothiapentane,172.4,
339,C5H10S   ,3-methylcyclothiapentane,192.0,
340,C5H10S   ,thiacyclohexane,292.3,
341,C5H11Br,3-bromopentane,167.3,
342,C5H11Br ,1-bromopentane,185.1,
343,C5H11N   ,cyclopentylamine,190.4,
344,C5H11NO ,piperidine,262.1,
345,C5H11NO3S ,2-methyl-2-(methylsulfonyl)propanal oxime,382.0,
346,C5H12 ,2-methylbutane,113.4,
347,C5H12 ,"2,2-dimethylpropane",256.5,
348,C5H12  ,pentane,143.5,
349,C5H12N2O ,"1,1-diethylurea",342.3,
350,C5H12N2O ,N-butylurea,369.3,
351,C5H12N2O ,N-tert-butylurea,449.8,
352,C5H12N2O ,"1,3-diethylurea",383.4,
353,C5H12N2O ,tetramethylurea,272.2,
354,C5H12N2O2,N-methyl-N-nitrobutanamine ,331.0,
355,C5H12NO3PS2,"O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",321.0,
356,C5H12O,2-pentanol,200.0,
357,C5H12O,3-pentanol,204.2,
358,C5H12O ,2-methyl-2-butanol,264.0,
359,C5H12O  ,1-pentanol,195.6,
360,C5H12O  ,"2,2-dimethyl-1-propanol",264.0,
361,C5H12O   ,ethyl propyl ether,145.7,
362,C5H12O   ,methyl n-butyl ether,157.5,
363,C5H12O   ,methyl tert-butyl ether ,164.6,
364,C5H12O2 ,"1,5-pentanediol",248.0,
365,C5H12O2 ,"2,2-dimethyl-1,3-propanediol",403.2,
366,C5H12O3 ,"2-hydroxymethyl-2-methyl-1,3-propanediol",470.0,
367,C5H12O4 ,pentaerythritol,538.7,
368,C5H12O5 ,"1,2,3,4,5-pentahydroxypentane (Xylitol)",365.7,
369,C5H12O5 ,"1,2,3,4,5-pentahydroxypentane (Ribitol)",374.7,
370,C5H12O5 ,"1,2,3,4,5-pentahydroxypentane  (D-Arabitol)",379.4,
371,C5H12S  ,2-methyl-2-butanethiol ,146.1,
372,C5H12S   ,ethyl propyl sulfide,156.1,
373,C5H12S   ,methyl butyl sulfide,175.6,
374,C5H12S   ,3-methyl-1-butanethiol,139.6,
375,C5H12S   ,1-pentanethiol,197.5,
376,C5H12S   ,methyl tert-butyl sulfide,190.8,
377,C5H12S   ,3-methyl-2-butanethiol,146.1,
378,C5H12S4   ,tetra(methylthia)methane,338.7,
379,C5H12SO2 ,tert-butylmethylsulfone,357.6,
380,C5H14N2  ,"N,N-dimethyl-1,3-propanediamine",194.4,
381,C6Cl3F3 ,"1,3,5-trichloro-2,4,6-trifluorobenzene",335.0,
382,C6Cl4O2 ,"2,3,5,6-tetrachloro-2,5-cyclohexadiene-1,4-dione",567.2,
383,C6Cl5NO2 ,pentachloronitrobenzene,418.0,
